Sentence,M,T,Cycle,Temperature,Spin Speed,Soil Level,Options,Time,Note
need to wash my white shirt at 2 pm and do not leave any wrinkles. ,"[[['wash'], ['shirt']], [['leave'], ['wrinkle']], [['white'], ['shirt']], [['2'], ['pm']], [['not'], ['leave']], [['do'], ['leave']], [['do', 'not'], ['leave', 'wrinkle']], [['wash'], ['2', 'pm', 'shirt']]]","['at', '2', 'pm', [['2'], ['pm']]]",whitest_whites,warm,max,medium,"[False, False, True, False, False]",Start at 2 pm.,[]
clean my white dress thoroughly and give it an extra rinse. ,"[[['clean'], ['dress']], [['give'], ['rinse']], [['white'], ['dress']], [['thoroughly'], ['clean']], [['extra'], ['rinse']]]",[],whitest_whites,warm,max,medium,"[True, False, False, False, False]",Start at 03:27 am,[]
use hot water to clean these heavily dirty clothes.,"[[['use'], ['water']], [['clean'], ['clothes']], [['hot'], ['water']], [['heavily'], ['dirty']], [['dirty'], ['clothes']]]",[],heavy_duty,hot,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
use cold water to clean these heavily dirty clothes and dry them wrinkle free.,"[[['use'], ['water']], [['clean'], ['clothes']], [['dry'], ['they']], [['cold'], ['water']], [['heavily'], ['dirty']], [['dirty'], ['clothes']]]",[],heavy_duty,cold,max,medium,"[False, False, True, False, False]",Start at 03:27 am,[]
clean these dirty clothes using heavy dirty mode with tap cold water.,"[[['clean'], ['clothes']], [['use'], ['mode']], [['tap', 'water'], ['cold']], [['dirty'], ['clothes']], [['heavy'], ['mode']], [['dirty'], ['mode']], [['cold'], ['water']], [['use'], ['cold', 'water', 'mode']]]",[],heavy_duty,tap cold,max,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
clean heavily these dirty clothes and lock the control.,"[[['clean'], ['clothes']], [['lock'], ['control']], [['heavily'], ['clean']], [['dirty'], ['clothes']]]",[],heavy_duty,warm,max,medium,"[False, False, False, True, False]",Start at 03:27 am,[]
wash these heavily dirty clothes and dry them at high spin speed.,"[[['wash'], ['clothes']], [['dry'], ['they']], [['spin', 'speed'], ['high']], [['heavily'], ['dirty']], [['dirty'], ['clothes']], [['high'], ['speed']], [['dry'], ['high', 'speed', 'they']]]",[],heavy_duty,warm,high,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
clean the dirty clothes and set the soil level max.,"[[['clean'], ['clothes']], [['set'], ['level', 'max']], [['soil', 'level'], []], [['level', 'max'], []], [['dirty'], ['clothes']]]",[],heavy_duty,warm,max,max,"[False, False, False, False, False]",Start at 03:27 am,[]
fresh rinse these heavily dirty clothes and dry them wrinkle free.,"[[['rinse'], ['clothes']], [['dry'], ['they']], [['heavily'], ['dirty']], [['dirty'], ['clothes']]]",[],heavy_duty,warm,max,medium,"[True, False, True, False, False]",Start at 03:28 am,[]
need to prewash these clothese  heavily dirty clothes after 3 hours.,"[[['prewash'], ['clothes']], [['clothese'], ['clothes']], [['heavily'], ['dirty']], [['dirty'], ['clothes']], [['3'], ['hour']]]","[[['3'], ['hour']]]",heavy_duty,warm,max,medium,"[False, True, False, False, False]",Start at 06:28 am,[]
clean these heavily dirty clothes thoroughly without any noises. ,"[[['clean'], ['clothes']], [['heavily'], ['dirty']], [['dirty'], ['clothes']], [['thoroughly'], ['clean']]]",[],heavy_duty,warm,max,medium,"[False, False, False, False, False]",Start at 03:28 am,[]
give an extra rinse with cold water to these heavily dirty clothes and lock the system while washing. ,"[[['give'], ['rinse']], [['lock'], ['system']], [['extra'], ['rinse']], [['cold'], ['water']], [['heavily'], ['dirty']], [['dirty'], ['clothes']], [['give', 'give'], ['cold', 'water', 'rinse', 'dirty', 'water', 'rinse']]]",[],heavy_duty,cold,max,medium,"[True, False, False, True, False]",Start at 03:28 am,[]
